model,task,accuracy,macro_f1,weighted_f1
BaseLine_FC,body_type,0.5473684210526316,0.5351065238142796,0.5547482666127509
Base_CNN,body_type,0.6421052631578947,0.6384350384706764,0.6479118872899118
Reg_CNN,body_type,0.675187969924812,0.6746516389729466,0.6780881298867515
ResNet18_finetune,body_type,0.8932330827067669,0.8866726672667267,0.8937661164612702
ResNet18_reg_finetune,body_type,0.968421052631579,0.9658029870044004,0.96826453783865
BaseLine_FC,brand,0.1518796992481203,0.1504384069850032,0.1502135565180729
Base_CNN,brand,0.1984962406015037,0.1890364082425004,0.1873162384468705
Reg_CNN,brand,0.2842105263157894,0.2606758508706625,0.2592230371679018
ResNet18_finetune,brand,0.5819548872180451,0.5764395155714186,0.577551181481853
ResNet18_reg_finetune,brand,0.8842105263157894,0.8845514648830763,0.8834268822524015
AlexNet_finetune,body_type,0.8150375939849624,0.8014438680516278,0.8149594691232764
AlexNet_finetune_frozen,body_type,0.7804511278195488,0.771587337436245,0.783292953743967
AlexNet_finetune,brand,0.3548872180451128,0.3470042648055427,0.3492906268210791
AlexNet_finetune_frozen,brand,0.3413533834586466,0.3387616365936641,0.3380582673075212
